,size
Cr1 Ni3,1.3625000000000003
Tb1 Hg2,1.5833333333333333
Mg1 V1 O3,0.93
Pr1 Sb1 Pt1,1.55
Rb8 P1 O3,1.7999999999999998
Zn1 As1 Pt5,1.3214285714285716
Te6 Mo2 W1,1.4055555555555554
Mo3 W1 Se4 S4,1.1916666666666667
Mo3 W1 Se6 S2,1.2166666666666666
Mg14 Ni1 Sn1,1.4875
Te4 Mo3 W1 Se4,1.325
Te1 W1 Se1,1.2999999999999998
Sr3 Ru1 N3,1.3214285714285712
K1 Mg6 Ga1 O8,1.08125
Mg6 Al1 Cr1 O8,1.028125
Te2 Mo1 W1 Se2,1.3166666666666664
Hf1 Mg14 Cd1 O16,1.053125
Mg14 Ni1 Bi1 O16,1.0484375000000001
U1,1.75
Cs1 S1 O3,1.08
Sc1 F3,0.775
Tb2 Ni2 Sn1,1.5300000000000002
V1 Au4,1.35
Mg2 Si3,1.2600000000000002
Mg2 Si1,1.3666666666666667
Mg4 Si3,1.3285714285714285
Mg3 Si4,1.2714285714285714
Ba7 Sr1 Co1 Cu7 O24,1.05625
K2 W2 O5,1.1222222222222222
K5 Na3 Ta8 O24,1.06
Mg5 Si9,1.2428571428571429
Tl2 Pd3 S2,1.4285714285714284
Ge1 N2 O1 F6,0.615
Ce1 Co1 Sb2,1.525
Nd1 Ge2 Pt2,1.4100000000000001
Sr1 H1 Br1 O1,1.0
Mo1 W1 Se2 S2,1.1833333333333333
Li1 Sm1 Sn2,1.5499999999999998
Sr2 Zr1 Cr1 O6,1.0550000000000002
Y1 Sn3,1.5374999999999999
Ho2 Co1 Ge2,1.4700000000000002
Th1 Al1 Rh1,1.4666666666666666
K2 Bi1 Au1,1.8375
Li1 Sc1 Cd2,1.5375
Mg1 Zn5,1.3750000000000002
Mg2 Sb1,1.4833333333333334
Eu2 In1 Pt2,1.5900000000000003
Nb1 Zn1 Ni2,1.375
Sr2 Mg1 Pb1,1.825
Y2 Tl1 Cu1,1.7125
H1 C1,0.475
Ba2 Li1 Tl1,1.9125
Na1 Mg30 B1 O31,1.0515873015873014
Na2 Sr1 Ca1,1.8499999999999999
W1 N2,0.8833333333333333
Mg6 Zn1 Fe1,1.46875
Cd1 S1 O4,0.825
Nb1 Cr1 O4,0.875
Ba1 Dy1 Fe4 O7,1.0538461538461539
Eu2 S3,1.34
Na1 Fe1 H8 N2 F6,0.5277777777777777
K3 Ta1 I6,1.645
Na2 Eu1 Cu1 Cl6,1.28
K3 V1 F6,1.095
K2 Hg1 Bi1 I6,1.59
Cs2 Li1 Y1 I6,1.685
Rb2 Sc1 Cu1 Cl6,1.3650000000000002
Ba1 Ni1 C4 Br1,1.064285714285714
Ga2 Cu1 S2 O2,1.0214285714285714
Si2 Mo1 O7,0.7849999999999999
Na4 Ca1 Fe4 P6 O24,0.8974358974358975
Li3 Mn1 Co1 O5,1.01
Li5 Mn2 Co1 O8,1.0125
Li4 Mn3 Co1 O8,1.009375
Li7 Mn2 Co3 O12,1.0083333333333333
Li9 Co7 O16,1.003125
Li9 Mn2 Co5 O16,1.0062499999999999
Li2 Sn1 O6,0.8833333333333333
Li2 B1 H6 N1,0.5900000000000001
Ir1 S2 Cl3 O7,0.8115384615384615
Ac1 La3,1.95
Ba1 P2 O8,0.8136363636363637
Ce1 Er3,1.775
Er2 Cu1 Au1,1.5499999999999998
Gd1 Cd1 Ag2,1.6375000000000002
Hf2 Re1 Ru1,1.4375
Gd2 Cr2 O5,1.0444444444444443
Li2 In1 Pb1,1.5625
Mg2 In1,1.5166666666666666
Mn3 Sb1,1.4124999999999999
Np1 Ag3,1.6375000000000002
Np3 As1,1.6
Pr1 Nd1 In2,1.7000000000000002
Pm1 Ta3,1.5499999999999998
Rb3 Hf1,2.1500000000000004
Tb1 Dy1 In2,1.65
Ti2 Mn1 Tc1,1.3874999999999997
Pr1 Zn3,1.475
Tc1 I6 O2,1.2166666666666666
Nd2 Ir2 O7,0.9636363636363636
Cs1 K2 Fe3 P4 Cl1 O14,0.984
Sr2 Zn1 S3,1.3916666666666666
K2 Cu1 Te1 O7,1.0318181818181817
Ta1 Se3,1.2249999999999999
Cs1 Mg1 As1 H12 O10,0.5700000000000001
Er4 Zn5 Ge6,1.4166666666666667
Na5 Cu3 P4 O16,0.9517857142857142
Ta2 Al1,1.3833333333333333
Mg1 Ti2 O4,0.9571428571428571
K2 Pb3 C3 O9 F2,0.9631578947368422
Pr1 Tl1 P2 S7,1.1590909090909092
Ba1 Te3 O7,0.959090909090909
Cs1 H2 F3,0.7666666666666667
Zn1 B3 H3 O7,0.6321428571428571
Si1 Pb2 O4,1.0142857142857142
Al2 Fe1 Si2 O10,0.8066666666666666
Gd2 Fe14 B1,1.414705882352941
Ni1 Sb2 H12 O6 F8,0.5120689655172415
Tc1 C5 Cl1 O5,0.7375
Na2 Mg1 H32 S2 O24,0.48360655737704916
K6 Co2 C12 O31,0.8411764705882352
Re1 C2 N1 Cl4,0.925
Cs1 Cr1 H24 Se2 O20,0.50625
Lu3 Ge13 Ru4,1.335
Ca1 H8 Cl2 O12,0.5652173913043478
Er4 Ge3 O15,0.8977272727272727
Zn1 W1 O4,0.85
H19 C6 N7 O4,0.44166666666666665
Cs1 P2 Rh2,1.46
Zr1 Ni1 F6,0.7375
Rb2 Mn1 F4,1.157142857142857
Si2 Rh3,1.25
Rb1 P2 Rh2,1.4100000000000001
Te3 Pd5,1.4
Tb1 Se3,1.2999999999999998
Tb2 Hf3 Si4,1.3944444444444444
Sr3 Li6 Ta2 O11,1.0999999999999999
Sm1 Cr1 Ge1 O5,0.9375
Sm3 W1 Cl3 O6,1.0384615384615383
Nd3 Cu3 Bi4,1.6
Nd3 In4 Ge1,1.625
Re6 Pb3 C2 S2 N4 O26,0.8162790697674418
Pr7 Br3 O18,0.9714285714285715
Na3 Cu2 Mo3 O12,0.9825
Pr1 S2 N1 O12,0.73125
Tb1 Ge3 Rh5,1.3611111111111112
H12 Pb1 N3 Cl5,0.5595238095238095
K1 Au1 Cl4 O2,1.09375
Ba2 B5 Br1 O9,0.888235294117647
Yb1 Lu1 Al4,1.4166666666666665
Zn3 Ag1,1.4125
Yb6 P19 Rh30,1.2727272727272727
Cs3 La1 Br6,1.665
U2 Si3 Rh1,1.3583333333333334
Y2 Fe17 C1,1.4049999999999998
Tm5 Te4 Se1,1.55
Sr1 Pr1 Sc1 O4,1.1214285714285714
Sr2 V1 Mo1 O6,1.04
Sn1 Te2 Pb1,1.5125
Sc3 In1 P4,1.2937500000000002
Rh1 N6 O9,0.6656249999999999
Rb1 V3 Cd4 O12,0.9900000000000001
Pr1 Bi1 Ru2 O7,0.9318181818181819
Na1 H1 Se1 O4,0.7999999999999998
Na5 Si34,1.1897435897435897
Na1 Pr1 S2,1.4125
Mo1 W1 C2,1.0499999999999998
Mn3 Cd1 Te4,1.4187499999999997
Na2 Mn3 Te4,1.4888888888888887
La1 Er2 Se4,1.4357142857142855
Li4 Zr8 V3 P9 O48,0.8340277777777778
K1 Re3 S4 O4,1.0541666666666667
Ho6 Ag1 Ge2 S14,1.2434782608695651
Fe2 Ni1 P1,1.2875
Hg6 S4 I1 Br3,1.275
Cu1 Bi1 Se2,1.3125
K30 Ga9 Sb19,1.8146551724137936
Cs2 Cu1 Br1 Cl3,1.5285714285714287
Ce2 Cd1 Sb4,1.5785714285714285
Cd2 In1 Ag1 S4,1.28125
Ca2 Pr2 Mn1 Ni1 O8,1.0607142857142855
Ba1 Sr1 Co1 W1 O6,1.045
Ca4 La2 Zr4 O15,1.052
Be2 Co1,1.15
Li5 Tl2,1.5785714285714287
Ba5 P3 O12 F1,1.0214285714285711
Tm2 Mg1 Se4,1.3714285714285714
Ba1 V12 S16,1.1844827586206896
In1 As1 H4 O6,0.6083333333333333
Be1 H8 N2 F4,0.42333333333333334
K3 Yb1 N6,1.225
Na4 Ni1 H38 W6 O40,0.5634831460674157
Ta1 B1 C1,0.9999999999999999
Ca1 Re1 N2,1.1125
Ca7 Rh1 N6,1.275
Mg9 Fe2 N8,1.131578947368421
Al1 In2 N3,1.0499999999999998
Ti1,1.4
Ba3 Cr3 N5,1.2636363636363634
Mg1 Mo2 S4,1.2
Ba3 Sc2 N4,1.3611111111111112
Mg1 Co1 Mo1 S4,1.1857142857142857
Ca2 Bi1 N3,1.1916666666666667
Ca2 Al1 V1 O5,1.0222222222222221
Lu2 In1 Pd2,1.5700000000000003
Yb1 Al2 Ni1,1.4
Li1 Fe1 Si1 O4,0.907142857142857
Tb1 Cu1 Se2,1.35
Rh3 Se8,1.2045454545454546
Y2 C1,1.4333333333333333
Nd1 Pd2 O4,1.0071428571428571
Tl2 Ge1 Se3,1.4166666666666665
Y3 Si3 Rh1,1.4357142857142857
Ho2 Mo1 O6,0.95
Rb2 Mo1 S4,1.45
Na3 Mo1 N1 O3,1.1625
Ca1 Si2 Ni1 O6,0.895
K2 Ni1 O2,1.3900000000000001
Be3 Fe4 Si3 S1 O12,0.8804347826086956
Nd1 Ni2 Sn2,1.4900000000000002
Tm1 Fe1 Ge2 O7,0.8954545454545455
Ni1 Rh1 F6,0.7125
Gd1 Si2,1.3333333333333335
Sm1 Zn1,1.6
K3 Fe5 F15,0.917391304347826
La1 Mn2 Ge2,1.45
Gd1 Al3 Pd2,1.3916666666666666
Ce2 Mg1 Cu2,1.58
As1 Se6 I1 F6,0.8892857142857142
K1 Mg1 H3,0.8900000000000001
Na1 H1 O1,0.8833333333333333
Nd1 H1 S1 O5,0.7625
H2 S1 O4,0.557142857142857
Li1 W1 O2,1.0
Sr1 H2 Br2 O7,0.75
Li1 Cr1 P4 O12,0.7805555555555554
Li1 Cu1 P1 O4,0.8857142857142857
Fe1 P2 O7,0.76
Ni1 Cl2,1.1166666666666667
U1 Cl5,1.125
K2 Os1 Br6,1.4
Hg1 Br1 O3,0.89
Fe5 C2,1.2
Li1 Gd1 Cl4,1.2083333333333333
K3 Mn2 Cl7,1.3666666666666667
Ba3 In2 F12,0.9147058823529413
Pd1 Se2 Cl6,1.0777777777777777
Dy1 S1 I1,1.383333333333333
Al2 Cd1 Cl8,1.0954545454545455
Dy1 Si2 Au2,1.33
Nd2 S3 O12,0.8176470588235294
Zr2 Cr4 Si5,1.290909090909091
La6 Mo8 O33,0.9170212765957446
K4 Ti3 Te9,1.6
Sr2 Co1 Re1 O6,1.03
Na2 Ce1 O3,1.2083333333333333
Na3 Al1 F6,0.9650000000000001
Mg1 Ti1 O3,0.9400000000000001
Tm2 Cd1 S4,1.2928571428571427
Ag2 C1 O3,0.95
Ba1 Ti2 O5,0.9937499999999999
Ag3 Bi1 O3,1.1714285714285713
Ce3 Si2 Ni6,1.440909090909091
U1 Cr2 Si2,1.35
Cs1 Na3 Pb1 O4,1.3555555555555554
Li2 Pt1 O3,1.0083333333333333
Sr10 P6 Br1 O24 F1,1.0011904761904762
Eu2 W3 O12,0.8794117647058823
K2 Ba3 Sb4,1.8499999999999999
Hg3 S2 I1 Cl1,1.2714285714285714
K2 Cu1 P2 O7,0.9958333333333333
Ba2 Cu1 F6,0.961111111111111
As1 S1,1.075
Cd1 C2 O4,0.7642857142857142
Li2 Pr1 N5 O15,0.7391304347826086
K2 Cu3 Se4 O12,0.9642857142857142
Te1 As1 I3 F6,0.8863636363636362
Sr1 P2 O6,0.8444444444444443
Si1 O2,0.7666666666666666
Na1 Si1 B1 O4,0.8785714285714286
Cs3 Mo4 P3 O16,1.0076923076923077
K2 Ca1 N4 O8,0.9066666666666667
K2 Mn1 F4,1.1142857142857143
K6 Ti2 S6 O1,1.5066666666666668
Na8 Hf1 Mo6 O24,1.0012820512820513
Na1 Au1 S2 O8,0.8291666666666666
Zn1 S1,1.175
Na2 Fe1 Cu1 F7,0.8954545454545455
Cs1 Te2 O6,0.9999999999999998
Cu3 P4 S4 I3,1.1607142857142856
Rb1 Co1 C4 O4,0.8899999999999999
V1 Pd3,1.3874999999999997
Li2 Mg1 Si1,1.375
Tb4 Cd1 Rh1,1.65
Au1 Br1,1.25
Mg21 Zn25,1.4184782608695652
Ti1 Hg6 P4 Cl7,1.1888888888888889
Cs2 Te10 Mo9,1.5357142857142856
Ba2 Ca1 Fe2 Cu1 F14,0.8624999999999999
Mn7 Pb3 O15,0.968
Li1 Mn4 P3 O12,0.8624999999999999
Cs3 Na1 Li2 B2 O6,1.2714285714285714
Ce1 Bi1 S2 O1,1.2100000000000004
Cl1 F3,0.625
Tl1 Cr4 Bi1 O14,0.875
Fe3 Pb4 Cl1 O8,1.075
K1 Hf1 Ni1,1.7
Ta1 Ti1 Al1,1.3666666666666667
H2,0.25
Ce1 In1 Au2,1.5250000000000001
Sr1 Zn5,1.4583333333333335
Nb1 Cr1 Co1,1.4
K1 H3 C2 O3,0.6833333333333332
Rb2 Cd2 S3 O12,0.9473684210526315
Sn1 P3 O9,0.7576923076923077
Rb2 Zn1 Cl3,1.5083333333333333
Pr1 Y1 Si2 O7,0.9136363636363636
Nd4 Si4 N7 Cl1 O3,1.0078947368421052
Nd3 Sn13 Rh4,1.49
S1,1.0
Ba3 Li1 Ti5 Nb3 O21,0.9651515151515151
Bi15 Ru16 O55,0.9046511627906977
Na1 Sr2 Nd1 Ti4 O12,1.0225
Cu1 H1 Cl1 O1,0.8
H8 W1 S4 N2,0.5766666666666667
U1 P3 H7 O8,0.5947368421052631
K3 Cr1 C5 N6 O1,1.0
Re1 Ag1 O4,0.8916666666666666
Cu1 H12 N2 Cl4 O2,0.5166666666666666
Cs1 B6 H8 O7,0.6318181818181818
P6 H24 N6 O19,0.49636363636363634
V1 As2 H4 O9,0.628125
H4 Os3 C10 O9,0.6653846153846155
Mn6 O5 F7,0.8277777777777777
Ag1 B10 H26 C6 N1,0.48750000000000004
Sm3 Ta1 O7,1.018181818181818
Li1 Ag1 F3,0.9100000000000001
Li2 Ti1 Co2 O6,0.9636363636363636
Fe1 O1,1.0
Li7 Mn1 O4 F2,1.0678571428571428
Mg1 Fe1 O3,0.9400000000000001
Mn1 Al2 O4,0.8999999999999999
Er2 Cu1 O4,1.0357142857142856
Tb1 Ce1 O4,1.0
Li2 Fe1 S2,1.2599999999999998
Li1 Cu1 Si2 O5,0.8888888888888888
Er2 Ti1 O5,0.9875
Li2 B1 P1 C1 O7,0.8041666666666667
Li4 Cr1 Ga3 O8,0.9937499999999999
Ti1 Mn3 O8,0.8666666666666666
La10 Mn9 O30,1.0224489795918368
Li7 Cr2 O8,1.0441176470588234
Li1 Fe2 P5 O16,0.7854166666666667
Li6 Ti1 Cr3 P6 O24,0.8674999999999999
Li4 Fe7 P6 O24,0.8780487804878049
Fe1 O1 F1,0.8333333333333333
Rb2 Li1 V1 P2 O8,1.0214285714285714
Li1 Bi1 P2 O7,0.8409090909090908
Na3 Ni5 O10,1.0083333333333333
Al11 Ag1 O17,0.8810344827586207
Ba1 Ca2 I6,1.572222222222222
Li5 V3 P8 O29,0.8155555555555556
Li3 Nb1 V3 O8,0.9766666666666668
Li2 Fe1 P1 C1 O7,0.85
Sr2 Zr7 O16,0.9780000000000001
Li4 Nb5 V3 O16,0.9535714285714285
Li3 Tl1 P1 C1 O7,0.9346153846153846
Li7 Ti5 Mn12 O32,0.9491071428571427
Li2 Cr3 Ni1 S6 O24,0.8013888888888888
Li4 Mn2 Fe3 Cu3 O16,0.9446428571428571
Cr1 Fe3 Sb2 P6 O24,0.8027777777777777
Li1 Mn4 P6 O21,0.8015625
Ti1 Fe3 Sb2 P6 O24,0.8027777777777777
Li2 Fe3 F8,0.8538461538461539
